date,mmdd,tmax,tmin
2020-01-01,01-01,55.04,28.22
2020-01-02,01-02,68.0,44.96
2020-01-03,01-03,71.06,57.02
2020-01-04,01-04,57.02,32.0
2020-01-05,01-05,53.96,29.12
2020-01-06,01-06,64.94,32.0
2020-01-07,01-07,57.92,32.0
2020-01-08,01-08,62.959999999999994,27.14
2020-01-09,01-09,64.04,35.06
2020-01-10,01-10,69.08,59.0
2020-01-11,01-11,73.94,51.08
2020-01-12,01-12,66.92,46.94
2020-01-13,01-13,64.04,55.94
2020-01-14,01-14,64.94,57.92
2020-01-15,01-15,68.0,53.06
2020-01-16,01-16,64.94,51.08
2020-01-17,01-17,62.959999999999994,46.04
2020-01-18,01-18,57.92,46.94
2020-01-19,01-19,55.94,31.1
2020-01-20,01-20,37.04,23.18
2020-01-21,01-21,41.0,22.1
2020-01-22,01-22,51.08,24.26
2020-01-23,01-23,46.04,37.04
2020-01-24,01-24,57.02,41.0
2020-01-25,01-25,48.02,31.1
2020-01-26,01-26,53.06,29.12
2020-01-27,01-27,55.94,35.06
2020-01-28,01-28,62.059999999999995,30.2
2020-01-29,01-29,55.04,35.96
2020-01-30,01-30,62.059999999999995,33.08
2020-01-31,01-31,48.92,39.92
2020-02-01,02-01,53.96,35.06
2020-02-02,02-02,66.02,29.12
2020-02-03,02-03,75.92,35.06
2020-02-04,02-04,71.96,57.02
2020-02-05,02-05,69.98,62.959999999999994
2020-02-06,02-06,71.06,42.980000000000004
2020-02-07,02-07,44.06,33.08
2020-02-08,02-08,53.96,32.0
2020-02-09,02-09,62.059999999999995,33.08
2020-02-10,02-10,57.02,50.0
2020-02-11,02-11,71.96,51.98
2020-02-12,02-12,75.02,51.08
2020-02-13,02-13,69.98,39.92
2020-02-14,02-14,50.0,33.08
2020-02-15,02-15,59.0,29.12
2020-02-16,02-16,53.06,44.96
2020-02-17,02-17,60.08,42.08
2020-02-18,02-18,62.959999999999994,53.96
2020-02-19,02-19,59.0,48.92
2020-02-20,02-20,50.0,37.04
2020-02-21,02-21,48.02,29.12
2020-02-22,02-22,57.92,27.14
2020-02-23,02-23,55.04,33.08
2020-02-24,02-24,55.94,44.06
2020-02-25,02-25,60.980000000000004,46.04
2020-02-26,02-26,50.0,39.02
2020-02-27,02-27,48.92,30.2
2020-02-28,02-28,55.94,27.14
2020-02-29,02-29,59.0,32.0
2020-03-01,03-01,66.02,31.1
2020-03-02,03-02,62.059999999999995,48.02
2020-03-03,03-03,71.96,57.92
2020-03-04,03-04,60.08,51.08
2020-03-05,03-05,55.94,44.96
2020-03-06,03-06,59.0,42.08
2020-03-07,03-07,60.08,33.98
2020-03-08,03-08,64.94,37.04
2020-03-09,03-09,71.06,46.04
2020-03-10,03-10,64.94,51.98
2020-03-11,03-11,69.08,51.98
2020-03-12,03-12,78.98,55.04
2020-03-13,03-13,69.08,62.059999999999995
2020-03-14,03-14,82.04,57.92
2020-03-15,03-15,69.98,57.02
2020-03-16,03-16,71.06,55.04
2020-03-17,03-17,73.04,59.0
2020-03-18,03-18,78.98,59.0
2020-03-19,03-19,80.06,57.92
2020-03-20,03-20,80.96,60.980000000000004
2020-03-21,03-21,66.02,48.92
2020-03-22,03-22,68.0,46.04
2020-03-23,03-23,69.08,60.08
2020-03-24,03-24,80.06,62.059999999999995
2020-03-25,03-25,75.92,53.96
2020-03-26,03-26,82.94,51.08
2020-03-27,03-27,84.02,57.02
2020-03-28,03-28,84.02,62.959999999999994
2020-03-29,03-29,77.0,60.08
2020-03-30,03-30,75.92,55.04
2020-03-31,03-31,62.059999999999995,48.02
2020-04-01,04-01,62.959999999999994,39.92
2020-04-02,04-02,69.98,37.94
2020-04-03,04-03,75.92,42.08
2020-04-04,04-04,80.96,48.92
2020-04-05,04-05,82.94,55.94
2020-04-06,04-06,82.94,51.98
2020-04-07,04-07,75.02,59.0
2020-04-08,04-08,78.98,60.980000000000004
2020-04-09,04-09,78.08,62.059999999999995
2020-04-10,04-10,62.959999999999994,39.02
2020-04-11,04-11,73.94,37.04
2020-04-14,04-14,66.92,48.02
2020-04-15,04-15,62.959999999999994,37.94
2020-04-16,04-16,69.98,35.06
2020-04-17,04-17,75.92,42.980000000000004
2020-04-18,04-18,69.08,48.92
2020-04-19,04-19,60.980000000000004,46.94
2020-04-20,04-20,73.04,48.92
2020-04-21,04-21,75.92,44.96
2020-04-22,04-22,69.08,44.96
2020-04-23,04-23,69.98,53.96
2020-04-24,04-24,73.04,53.96
2020-04-25,04-25,78.98,53.06
2020-04-26,04-26,68.0,44.96
2020-04-27,04-27,73.94,39.92
2020-04-28,04-28,80.96,48.92
2020-04-29,04-29,71.96,57.92
2020-04-30,04-30,69.08,48.02
2020-05-01,05-01,77.0,42.980000000000004
2020-05-02,05-02,82.04,46.94
2020-05-03,05-03,84.02,53.06
2020-05-04,05-04,86.0,57.02
2020-05-05,05-05,80.96,62.959999999999994
2020-05-06,05-06,71.96,44.06
2020-05-07,05-07,69.98,39.02
2020-05-08,05-08,66.02,48.02
2020-05-09,05-09,66.02,42.980000000000004
2020-05-10,05-10,73.04,39.02
2020-05-11,05-11,69.08,44.96
2020-05-12,05-12,77.0,44.06
2020-05-13,05-13,82.94,55.04
2020-05-14,05-14,82.94,62.959999999999994
2020-05-15,05-15,84.02,64.94
2020-05-16,05-16,84.91999999999999,62.059999999999995
2020-05-17,05-17,82.94,66.02
2020-05-18,05-18,82.94,64.94
2020-05-19,05-19,75.02,59.0
2020-05-20,05-20,75.02,57.92
2020-05-21,05-21,78.98,55.94
2020-05-22,05-22,84.91999999999999,64.94
2020-05-23,05-23,87.08000000000001,62.059999999999995
2020-05-24,05-24,89.06,66.92
2020-05-25,05-25,87.08000000000001,66.92
2020-05-26,05-26,73.94,68.0
2020-05-27,05-27,75.02,62.959999999999994
2020-05-28,05-28,84.02,62.959999999999994
2020-05-29,05-29,86.0,64.94
2020-05-30,05-30,86.0,60.980000000000004
2020-05-31,05-31,84.91999999999999,57.02
2020-06-01,06-01,84.91999999999999,55.94
2020-06-02,06-02,87.98,68.0
2020-06-03,06-03,89.06,66.92
2020-06-04,06-04,87.98,69.08
2020-06-05,06-05,89.96000000000001,69.08
2020-06-06,06-06,89.06,68.0
2020-06-07,06-07,87.98,71.06
2020-06-08,06-08,87.08000000000001,75.92
2020-06-09,06-09,86.0,73.04
2020-06-10,06-10,89.06,71.06
2020-06-11,06-11,84.02,62.059999999999995
2020-06-12,06-12,86.0,59.0
2020-06-13,06-13,87.98,62.959999999999994
2020-06-14,06-14,86.0,64.04
2020-06-15,06-15,84.91999999999999,62.059999999999995
2020-06-16,06-16,80.06,60.08
2020-06-17,06-17,78.08,60.08
2020-06-18,06-18,84.91999999999999,57.92
2020-06-19,06-19,87.98,64.04
2020-06-20,06-20,91.03999999999999,66.02
2020-06-21,06-21,89.96000000000001,68.0
2020-06-22,06-22,87.98,64.94
2020-06-23,06-23,86.0,69.08
2020-06-24,06-24,78.98,68.0
2020-06-25,06-25,80.96,68.0
2020-06-26,06-26,78.98,66.02
2020-06-27,06-27,86.0,66.92
2020-06-28,06-28,89.06,73.04
2020-06-29,06-29,91.94,69.98
2020-06-30,06-30,87.98,68.0
2020-07-01,07-01,84.02,68.0
2020-07-02,07-02,89.96000000000001,71.06
2020-07-03,07-03,91.03999999999999,71.96
2020-07-04,07-04,91.03999999999999,71.06
2020-07-05,07-05,91.03999999999999,71.06
2020-07-06,07-06,86.0,71.06
2020-07-07,07-07,87.98,73.94
2020-07-08,07-08,87.98,71.96
2020-07-09,07-09,89.06,71.96
2020-07-10,07-10,91.94,73.94
2020-07-11,07-11,91.03999999999999,69.08
2020-07-12,07-12,87.08000000000001,66.02
2020-07-13,07-13,89.96000000000001,68.0
2020-07-14,07-14,93.02,69.08
2020-07-15,07-15,93.91999999999999,69.98
2020-07-16,07-16,93.02,
2020-07-17,07-17,95.0,71.06
2020-07-18,07-18,93.91999999999999,73.94
2020-07-19,07-19,95.0,73.04
2020-07-20,07-20,96.08000000000001,71.96
2020-07-21,07-21,95.0,71.96
2020-07-22,07-22,93.91999999999999,73.94
2020-07-23,07-23,93.91999999999999,71.96
2020-07-24,07-24,89.96000000000001,73.04
2020-07-25,07-25,93.02,71.06
2020-07-26,07-26,93.91999999999999,69.98
2020-07-27,07-27,91.94,71.96
2020-07-28,07-28,89.06,71.96
2020-07-29,07-29,84.91999999999999,73.04
2020-07-30,07-30,89.96000000000001,75.02
2020-07-31,07-31,93.91999999999999,73.04
2020-08-01,08-01,89.96000000000001,71.06
2020-08-02,08-02,91.03999999999999,71.96
2020-08-03,08-03,91.94,71.06
2020-08-04,08-04,91.94,69.08
2020-08-05,08-05,91.94,73.04
2020-08-06,08-06,93.91999999999999,71.96
2020-08-07,08-07,93.02,71.06
2020-08-08,08-08,95.0,69.08
2020-08-09,08-09,96.98,71.06
2020-08-10,08-10,,71.06
2020-08-11,08-11,96.08000000000001,71.96
2020-08-12,08-12,93.91999999999999,71.06
2020-08-13,08-13,93.91999999999999,69.98
2020-08-14,08-14,89.06,73.94
2020-08-15,08-15,91.03999999999999,73.04
2020-08-16,08-16,91.94,68.0
2020-08-17,08-17,93.02,66.92
2020-08-18,08-18,93.91999999999999,62.959999999999994
2020-08-19,08-19,89.96000000000001,68.0
2020-08-20,08-20,87.08000000000001,68.0
2020-08-21,08-21,84.02,71.06
2020-08-22,08-22,86.0,68.0
