,record_min_temp,average_min_temp,average_max_temp,record_max_temp
01-01,17.240000000000002,36.656,55.298,71.96
01-02,17.06,38.102000000000004,54.632,78.08
01-03,12.020000000000003,36.548,53.738,73.94
01-04,15.979999999999997,34.034,54.434,75.02
01-05,10.04,33.026,54.914,71.96
01-06,13.100000000000001,33.872,54.47,73.94
01-07,8.240000000000002,32.306,54.464,73.94
01-08,10.220000000000002,32.492,53.21,73.04
01-09,15.979999999999997,34.952,54.872,73.04
01-10,15.979999999999997,36.254,55.316,71.96
01-11,12.020000000000003,35.81,56.912,73.94
01-12,19.04,36.656,55.868,75.02
01-13,17.96,37.322,56.641999999999996,75.02
01-14,14.0,32.396,55.34,75.92
01-15,19.04,32.942,53.42,73.94
01-16,12.920000000000002,31.508,53.258,75.02
01-17,9.14,33.152,52.952,73.94
01-18,12.020000000000003,32.558,53.072,78.08
01-19,8.96,30.758,53.258,73.04
01-20,17.06,30.596,53.312,78.08
01-21,15.979999999999997,33.217999999999996,55.274,75.02
01-22,15.079999999999998,33.068,54.571999999999996,75.92
01-23,12.020000000000003,34.718,53.6,73.94
01-24,8.059999999999999,32.558,54.386,73.94
01-25,12.2,30.092,55.153999999999996,73.04
01-26,21.02,33.488,55.802,73.94
01-27,19.939999999999998,34.004,55.82,73.94
01-28,19.22,33.734,58.448,71.06
01-29,8.240000000000002,34.994,56.222,78.08
01-30,5.18,33.104,55.334,78.98
01-31,18.14,31.52,56.666000000000004,73.04
02-01,19.939999999999998,34.208,56.894,73.04
02-02,17.06,34.54482758620689,57.434,78.08
02-03,14.0,33.302,58.751724137931035,75.92
02-04,8.059999999999999,34.4,55.513999999999996,73.94
02-05,8.059999999999999,35.51,54.343999999999994,73.94
02-06,15.979999999999997,34.838,57.428,75.92
02-07,24.08,35.048,57.236,80.06
02-08,17.96,34.274,58.56551724137931,75.02
02-09,23.0,34.321379310344824,59.348,78.08
02-10,21.02,35.708,55.964,73.94
02-11,17.06,36.518,57.83,78.08
02-12,19.04,35.372,56.876,75.02
02-13,19.04,34.016,55.454,69.98
02-14,19.939999999999998,34.454,58.934,69.98
02-15,19.04,37.31,59.684,73.94
02-16,12.920000000000002,37.346000000000004,60.176,78.98
02-17,19.04,36.464,57.482,75.02
